Date,SMA7,SMA21,EMA7,EMA21,MACD,MACD_signal,RSI,ADX,BB_upper,BB_middle,BB_lower,Stochastic_Oscillator,Williams_R,Price_ROC,OBV,Label
2013-08-05,15.932979785847978,15.409163195507485,15.971032199524265,15.559572249282947,0.26540997560545954,0.14185773156599782,82.48707244983545,34.565620593274886,15.440216708935441,16.26900762143857,14.611425796432313,95.37693131589073,-4.623068684109273,6.88715680769068,6441987270.858106,-1
2013-08-06,16.06261643524655,15.487638727435199,16.087293924000782,15.63925469002362,0.29920679987017884,0.17332754522683402,83.44380789249651,36.97595901285549,15.518178475433169,16.41118059952693,14.62517635133941,92.08833402355145,-7.911665976448551,7.661475028292856,6742508956.24711,-1
2013-08-07,16.17967328301919,15.56432158670349,16.187266396028072,15.71633915566783,0.3263527585150392,0.20393258788447508,84.0648995485517,39.282410067263434,15.596457075254401,16.5396211911288,14.653292959380002,93.13697470986479,-6.863025290135206,8.083493843765439,7042531536.019413,-1
2013-08-08,16.2733834883601,15.638550629384905,16.26055522501981,15.785801206243029,0.3433624131875721,0.23181855294509449,83.6179074516075,41.4241146177851,15.669316393757759,16.648543993957045,14.690088793558472,92.67749478319949,-7.322505216800525,8.659292938953463,6755782570.178803,-1
2013-08-09,16.34191939312863,15.704368092308615,16.296766934596285,15.842128556886909,0.346791630337016,0.2548131684234788,78.62315761923068,42.971643937642014,15.735285758811614,16.726141514415843,14.744430003207382,87.57996264329734,-12.420037356702652,6.968314720915118,6474998734.090378,1
2013-08-12,16.40624151241978,15.77128216009597,16.345377747392984,15.90113597769565,0.3523713899482832,0.27432481272843967,80.08824033380306,44.545681908729875,15.802850046046066,16.80630842829596,14.799391663796172,91.90496264936226,-8.095037350637739,6.85057481731324,6780877619.352279,1
2013-08-13,16.492639513100606,15.849821011038888,16.45634338826857,15.981872735259259,0.37650185102078737,0.29476022038690924,84.15111743857183,46.59262699640807,15.881950409811314,16.933398212132218,14.830502607490411,91.68380722416985,-8.316192775830153,8.11802692133716,7259575199.035621,1
2013-08-14,16.59758241564016,15.939645139246094,16.615642473186853,16.08293337095766,0.415391460901569,0.3188864684898412,87.05539699853576,48.88545076817195,15.973851035159123,17.10825313058648,14.839448939731769,91.7206983270143,-8.279301672985701,9.099906402661427,7821575224.813964,1
2013-08-15,16.7210322022309,16.037011824130857,16.786788755781522,16.19359648301292,0.4576146443519278,0.34663210366225855,88.58542096911677,51.20261633491259,16.073618961458394,17.30219583978877,14.845042083128018,92.08043567687828,-7.919564323121711,9.325931096164725,8362063442.858804,1
2013-08-16,16.86461544121112,16.141173605435206,16.963158188079007,16.31165739228188,0.5007998453513807,0.377465652000083,89.79262933037174,53.472063777404614,16.18491007165078,17.500989198229384,14.868830945072176,94.08156859272111,-5.918431407278899,9.83705960648558,8849096995.49019,1
2013-08-19,17.036649200484227,16.256326640948686,17.143533147785952,16.436475631793236,0.5442747572249758,0.41082747304506156,90.8380514288011,55.727834900875415,16.306437067321838,17.702704619294057,14.910169515349617,92.9375387267819,-7.062461273218101,10.246912607268174,9343176002.33216,1
